日付,平均価格
2026-03-09,34721.377052296084
2026-03-13,34809.04474390386
2026-03-14,34758.371435652225
2026-03-15,35005.80813581038
2026-03-16,34987.99079870716
2026-03-17,35182.538395494696
2026-03-18,35446.03697239434
2026-03-19,35532.77146762046
2026-03-20,35565.395615896734
2026-03-21,35597.89405831226
2026-03-22,35506.36211330844
2026-03-23,35714.842453021985
2026-03-24,35672.79111846882
2026-03-25,36969.4950784976
2026-03-26,35861.518120883266
2026-03-27,35766.083010546776
2026-03-28,35890.68533963824
2026-03-29,35943.07718860591
2026-03-30,35869.90335397242
2026-03-31,36116.02336333464
2026-04-01,36386.18901608462
2026-04-02,36397.2907376016
2026-04-03,36418.70914279919
2026-04-04,36496.084574375614
2026-04-05,36668.63677954568
2026-04-06,36753.44850950471
2026-04-07,36699.86779469498
2026-04-08,36684.90652419425
2026-04-09,36722.0231935255
2026-04-10,36718.29760991358
2026-04-11,36994.64750065125
2026-04-12,37008.913285681214
2026-04-13,37090.40954930189
2026-04-14,37181.163607434726
2026-04-15,37166.294494219655
2026-04-16,37325.249989164826
2026-04-17,37372.01669217663
2026-04-18,37498.4007796708
2026-04-19,37511.14927247532
2026-04-20,37407.193758893794
2026-04-21,37399.39752820292
2026-04-22,37865.8148664177
2026-04-23,37966.09024316677
2026-04-24,38003.85808869995
2026-04-25,38114.62979291725
2026-04-26,38336.19074355955
